sku,name,brand,category,price,currency,stock,weight_g,rating,tags,released_on,discontinued
AUD-0001,Soft-touch Silicone Audio Splitter,Lumenta,Audio,46.75,USD,70,780,3.3,compact;gift-idea,2022-04-28,false
AUD-0002,Linen-wrapped Audio Splitter,Lumenta,Audio,75.27,GBP,35,185,3.7,gift-idea;limited-run;recycled;refurbished,2023-07-29,true
AUD-0003,Powder-coated Field Recorder,Bramblewick,Audio,25.06,EUR,33,1210,3.5,bestseller;compact;recycled;refurbished,2024-09-01,false
AUD-0004,Woven Jute Sound Panel,Quorra Labs,Audio,5.0,USD,331,770,4.5,gift-idea;new-arrival,2025-10-18,false
AUD-0005,Frosted Glass Sound Panel,Sundara,Audio,399.58,USD,429,1090,4.7,compact;premium,2022-04-03,false
AUD-0006,Copper-plated Bookshelf Speaker,Sundara,Audio,59.35,EUR,12,1195,3.4,flat-pack;limited-run,2024-05-19,false
AUD-0007,Woven Jute Earphone Case,Halcyon Field,Audio,99.51,USD,20,1985,3.3,dishwasher-safe;gift-idea;new-arrival;premium,2022-03-13,false
AUD-0008,Slate Grey Sound Panel,Vantiq,Audio,74.69,USD,0,2325,3.9,limited-run;premium,2023-06-12,true
AUD-0009,Linen-wrapped Audio Splitter Lite,Aurelis,Audio,129.92,USD,476,1585,3.9,clearance;limited-run,2024-08-24,false
AUD-0010,Recycled Cork Bookshelf Speaker,Tessellate,Audio,249.23,USD,13,630,4.1,dishwasher-safe;limited-run;refurbished,2023-02-01,false
AUD-0011,Woven Jute Earphone Case Twin Pack,Norvale Supply,Audio,46.1,USD,22,2010,4.5,clearance;gift-idea;new-arrival;refurbished,2025-06-06,false
AUD-0012,Matte Ceramic Desk Microphone,Kestrel Works,Audio,5.55,USD,31,605,4.6,clearance;recycled;refurbished,2025-06-05,false
AUD-0013,Oiled Walnut Field Recorder,Lumenta,Audio,59.08,EUR,265,150,4.6,bestseller;bundle;premium;recycled,2022-03-02,false
AUD-0014,Frosted Glass Desk Microphone,Lumenta,Audio,19.01,USD,23,1145,3.5,bundle;clearance;dishwasher-safe,2023-06-08,false
AUD-0015,Brushed Steel Audio Splitter,Aurelis,Audio,59.99,USD,19,1775,4.4,dishwasher-safe;new-arrival;premium;recycled,2025-01-31,false
AUD-0016,Slate Grey Sound Panel Compact,Lumenta,Audio,46.36,USD,468,245,4.2,bestseller;limited-run;new-arrival;premium,2022-05-07,false
AUD-0017,Matte Ceramic Bookshelf Speaker,Bramblewick,Audio,75.1,GBP,20,1280,3.6,bestseller;bundle;refurbished,2024-03-06,false
FIT-0001,Frosted Glass Ankle Strap,Lumenta,Fitness,5.55,EUR,27,650,4.7,bestseller;dishwasher-safe;limited-run,2025-04-08,false
FIT-0002,Anodised Aluminium Exercise Mat,Halcyon Field,Fitness,46.22,USD,217,2900,3.5,bestseller;refurbished,2023-09-25,false
FIT-0003,Brushed Steel Kettle Weight,Aurelis,Fitness,19.04,USD,387,1970,3.2,bundle;dishwasher-safe,2023-09-16,false
FIT-0004,Cast Iron Grip Trainer,Norvale Supply,Fitness,32.09,USD,18,800,3.8,clearance;premium;recycled;refurbished,2023-01-13,false
FIT-0005,Cast Iron Grip Trainer Twin Pack,Vantiq,Fitness,25.52,USD,29,4595,4.4,bestseller;dishwasher-safe;recycled,2023-10-02,false
FIT-0006,Powder-coated Grip Trainer,Tessellate,Fitness,249.62,USD,48,205,3.1,limited-run;premium,2023-06-09,false
FIT-0007,Linen-wrapped Kettle Weight,Aurelis,Fitness,399.37,USD,6,930,3.8,clearance;premium,2023-07-10,false
FIT-0008,Powder-coated Kettle Weight,Quorra Labs,Fitness,46.39,USD,6,3320,3.3,bundle;compact;dishwasher-safe,2025-01-23,false
FIT-0009,Linen-wrapped Kettle Weight Wide,Quorra Labs,Fitness,185.92,USD,160,5840,3.3,flat-pack;limited-run,2024-10-13,false
FIT-0010,Matte Ceramic Yoga Block,Sundara,Fitness,32.63,USD,433,4725,4.8,clearance;flat-pack,2025-04-29,false
FIT-0011,Oiled Walnut Exercise Mat,Lumenta,Fitness,25.86,EUR,3,1250,3.5,dishwasher-safe;gift-idea;new-arrival;recycled,2023-05-18,false
FIT-0012,Copper-plated Skipping Rope,Vantiq,Fitness,59.96,USD,447,4640,4.8,recycled;refurbished,2022-05-08,false
FIT-0013,Copper-plated Yoga Block,Orbex,Fitness,75.43,USD,12,2440,4.5,bestseller;flat-pack;limited-run;new-arrival,2022-05-07,false
