catalog_id	title	author	genre	language	pages	published_year	publisher	format	copies_available	rating
BK-0001	Undertow in the Wickerlight	Alastair Novachek	Poetry	en	279	2013	Hollowbrook Books	hardcover	10	2.9
BK-0002	Brittle Moorlight	Ferris Novachek	Literary Fiction	en	193	2006	Northmere Editions	paperback	1	4.7
BK-0003	Thornmere in the Larkspur	Giselle Jandreau	Cookery	es	964	2006	Quarto Lantern	hardcover	4	3.7
BK-0004	The Last Emberline	Celeste Whitlock	Travel Writing	en	661	2023	Thistle Row	ebook	2	4.8
BK-0005	Saltglass and Amberfall	Galen Duskwood	Literary Fiction	en	545	2000	Northmere Editions	ebook	8	3.3
BK-0006	Hollowmere and Cinderbell	Willa Iversen	Poetry	en	640	1999	Quarto Lantern	paperback	6	3.9
BK-0007	A Unnumbered Gleamfield	Aurelio Abernathy	Travel Writing	en	688	2016	Quarto Lantern	paperback	3	4.6
BK-0008	Halfmoon in the Ashenvale	Orsolya Duskwood	Literary Fiction	en	779	2018	Marrow & Vane	audiobook	4	3.4
BK-0009	Thornmere in the Mistfall	Peregrine Hawthorne	Fantasy	ja	882	2024	Sixpenny House	audiobook	6	4.7
BK-0010	Hollowmere and Ravenglass	Peregrine Jandreau	Science Fiction	en	368	2012	Northmere Editions	paperback	12	4.7
BK-0011	A Salted Mistfall	Alastair Quintero	Science Fiction	en	301	2010	Sixpenny House	paperback	11	4.0
BK-0012	The Undertow of Duskwater	Jorvik Ulvestad	Biography	fr	774	2017	Thistle Row	hardcover	3	4.9
BK-0013	The Tidecall of Rookery	Imogen Dunmore	Poetry	ja	677	2024	Marrow & Vane	paperback	3	3.3
BK-0014	Hollowmere in the Stormglass	Hesper Iversen	Reference	en	333	1998	Quarto Lantern	hardcover	10	3.2
BK-0015	Weathered Tidecall	Briony Chaudhry	Popular Science	es	510	2015	Marrow & Vane	paperback	7	4.3
BK-0016	Larkspur in the Mistfall	Zephyr Brandt	Historical Fiction	en	593	2001	Hollowbrook Books	paperback	2	2.9
BK-0017	The Quillstone of Stormglass	Katriel Dunmore	Biography	en	450	2013	Grayling Press	ebook	1	4.8
BK-0018	Unquiet Lanternwood	Hollis Duskwood	Fantasy	en	928	2025	Marrow & Vane	ebook	1	4.1
BK-0019	Nightjar in the Grimwold	Hesper Yarrow	Popular Science	en	392	2021	Sixpenny House	ebook	10	4.3
BK-0020	The Ravenglass of Moorlight	Ursula Ivarsson	Popular Science	en	532	2000	Quarto Lantern	ebook	2	3.8
BK-0021	The Last Amberfall	Linnea Prendergast	Essays	fr	430	2005	Quarto Lantern	hardcover	1	3.9
BK-0022	Emberline in the Ashenvale	Zephyr Granholm	Reference	en	165	2011	Fen & Fable	paperback	10	3.4
BK-0023	Forgotten Thornmere	Elowen Rasmussen	Travel Writing	ja	277	2003	Hollowbrook Books	paperback	10	4.5
BK-0024	The Hollowmere of Windrow	Briony Ivarsson	Mystery	en	227	2010	Quarto Lantern	audiobook	2	3.5
BK-0025	The Last Larkspur	Galen Zabala	Poetry	en	320	2016	Hollowbrook Books	hardcover	7	4.4
BK-0026	The Last Ravenglass	Beatrix Ingersleben	Poetry	en	880	2006	Fen & Fable	hardcover	5	4.1
BK-0027	Unquiet Quillstone	Aurelio Falkenrath	Popular Science	de	531	2022	Marrow & Vane	paperback	0	2.8
BK-0028	Bellwether in the Rookery	Ferris Eastgate	Travel Writing	en	791	2006	Grayling Press	ebook	0	3.8
BK-0029	The Last Mistfall	Quillon Lyngstad	Popular Science	de	961	1998	Hollowbrook Books	paperback	7	4.2
BK-0030	Tidecall in the Larkspur	Celeste Zhang	Literary Fiction	en	382	2014	Quarto Lantern	ebook	7	3.9
BK-0031	The Stormglass of Cinderbell	Dorian Lindqvist	Reference	es	209	2013	Hollowbrook Books	ebook	6	3.7
BK-0032	The Last Grimwold	Beatrix Delacroix	Popular Science	en	555	2025	Thistle Row	hardcover	4	3.3
BK-0033	The Last Starling	Lonan Hawthorne	Historical Fiction	fr	692	2018	Hollowbrook Books	ebook	4	3.0
BK-0034	Moorlight in the Duskwater	Peregrine Fenwick	Science Fiction	en	477	2016	Sixpenny House	paperback	10	4.0
BK-0035	A Salted Wickerlight	Everard Fenwick	Essays	de	210	2007	Grayling Press	paperback	1	4.9
BK-0036	The Windrow of Nightjar	Rosalind Chaudhry	Popular Science	en	225	2007	Marrow & Vane	ebook	6	4.7
BK-0037	Emberline in the Silverfen	Yolanda Stellwagen	Historical Fiction	pt	518	2000	Hollowbrook Books	hardcover	12	4.5
BK-0038	The Lanternwood of Wickerlight	Yolanda Ardmore	Cookery	en	409	2023	Marrow & Vane	paperback	5	3.2
BK-0039	Amberfall and Brackenhall	Yolanda Cortland	Reference	de	283	2018	Fen & Fable	hardcover	5	3.0
BK-0040	The Last Lanternwood	Isolde Krivosheev	Fantasy	en	413	2010	Hollowbrook Books	ebook	10	3.4
BK-0041	Borrowed Nightjar	Thaddeus Vandermeer	Reference	en	448	2018	Hollowbrook Books	audiobook	9	3.5
BK-0042	A Weathered Larkspur	Halcyon Ivarsson	Popular Science	en	694	2007	Northmere Editions	hardcover	10	3.6
BK-0043	A Reluctant Thornmere	Celeste Abernathy	Fantasy	en	838	2001	Sixpenny House	paperback	3	4.7
BK-0044	The Thornmere of Mistfall	Quinn Prendergast	Biography	de	365	2025	Sixpenny House	hardcover	7	3.4
BK-0045	Grimwold and Larkspur	Vesper Quintero	Literary Fiction	en	753	2016	Northmere Editions	ebook	4	3.7
