ticket_id,user_id,subject,category,priority,status,channel,created_at,resolved_at,assignee,satisfaction,message
TCK-2001,12,Cannot remove a card from my wallet,account,high,pending,web-form,2025-06-01T12:26:00Z,,kestrel.blackwood@veranix.example,,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2002,111,Timezone shown in the wrong offset,technical,low,closed,web-form,2025-06-02T02:53:00Z,2025-06-08T03:53:00Z,isolde.novachek@veranix.example,3,"Every timestamp renders two hours behind, even after setting the timezone in settings."
TCK-2003,50,Address change ignored on dispatch,shipping,high,resolved,email,2025-06-03T04:38:00Z,2025-06-11T00:38:00Z,bastian.quintero@veranix.example,2,I changed the delivery address an hour before dispatch and it shipped to the old one anyway.
TCK-2004,49,Timezone shown in the wrong offset,technical,high,closed,chat,2025-06-03T19:09:00Z,2025-06-09T12:09:00Z,kiera.eastgate@veranix.example,3,"Every timestamp renders two hours behind, even after setting the timezone in settings."
TCK-2005,15,Payment declined at checkout,billing,high,pending,chat,2025-06-04T19:13:00Z,,kestrel.hartwell@veranix.example,,"The checkout page says ""payment declined"", but my bank statement already shows the charge."
TCK-2006,119,Cannot reset my password,account,normal,pending,web-form,2025-06-04T20:54:00Z,,kiera.eastgate@veranix.example,,I have tried three browsers and a private window; the reset link always says it has expired.
TCK-2007,18,Seat count did not update after upgrade,billing,low,resolved,phone,2025-06-05T13:47:00Z,2025-06-06T06:47:00Z,reverie.pennington@veranix.example,4,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2008,106,Duplicate charge on one order,billing,normal,resolved,email,2025-06-06T03:50:00Z,2025-06-11T16:50:00Z,soren.merriweather@veranix.example,4,"One order, two charges, same amount, same timestamp - please reverse the second one."
TCK-2009,82,Report totals disagree with the dashboard,technical,normal,escalated,chat,2025-06-06T06:58:00Z,,niall.gundersen@veranix.example,,"The dashboard shows 1,204 events and the CSV export of the same range shows 1,198."
TCK-2010,27,Timezone shown in the wrong offset,technical,normal,open,web-form,2025-06-07T19:20:00Z,,,,"Every timestamp renders two hours behind, even after setting the timezone in settings."
TCK-2011,118,Two-factor codes arrive late,account,high,closed,email,2025-06-08T09:00:00Z,2025-06-18T15:00:00Z,reverie.pennington@veranix.example,3,"Codes turn up eight or nine minutes late, by which point the login screen has timed out."
TCK-2012,27,Duplicate charge on one order,billing,normal,closed,email,2025-06-09T07:51:00Z,2025-06-10T01:51:00Z,katriel.eriksen@veranix.example,5,"One order, two charges, same amount, same timestamp - please reverse the second one."
TCK-2013,54,Payment declined at checkout,billing,normal,pending,phone,2025-06-11T23:51:00Z,,kestrel.blackwood@veranix.example,,"The checkout page says ""payment declined"", but my bank statement already shows the charge."
TCK-2014,104,Attachment upload stalls at 90 percent,technical,high,resolved,chat,2025-06-12T17:38:00Z,2025-06-19T14:38:00Z,niall.gundersen@veranix.example,4,Uploads reach 90 percent and stop; smaller files under 2 MB go through without trouble.
TCK-2015,31,Two-factor codes arrive late,account,normal,pending,chat,2025-06-12T22:49:00Z,,kiera.eastgate@veranix.example,,"Codes turn up eight or nine minutes late, by which point the login screen has timed out."
TCK-2016,77,Weekly digest email never arrives,account,normal,escalated,social,2025-06-13T18:52:00Z,,kestrel.hartwell@veranix.example,,"The digest has not arrived since the 12th, and it is not in spam or the promotions tab."
TCK-2017,82,Duplicate charge on one order,billing,high,resolved,email,2025-06-13T21:25:00Z,2025-06-19T03:25:00Z,isolde.vasquez@veranix.example,4,"One order, two charges, same amount, same timestamp - please reverse the second one."
TCK-2018,77,Cannot remove a card from my wallet,account,high,closed,chat,2025-06-15T03:18:00Z,2025-06-23T23:18:00Z,isolde.prendergast@veranix.example,4,"Removing the old card returns a generic error, so both cards remain on the account."
TCK-2019,16,Seat count did not update after upgrade,billing,high,open,email,2025-06-15T12:02:00Z,,,,"We upgraded to twelve seats, were charged for twelve, and the app still allows only eight."
TCK-2020,43,Weekly digest email never arrives,account,normal,resolved,social,2025-06-17T20:45:00Z,2025-06-19T22:45:00Z,katriel.eriksen@veranix.example,3,"The digest has not arrived since the 12th, and it is not in spam or the promotions tab."
TCK-2021,32,Cannot reset my password,account,low,closed,email,2025-06-17T21:07:00Z,2025-06-23T09:07:00Z,dorian.quillfeather@veranix.example,5,I have tried three browsers and a private window; the reset link always says it has expired.
